,acc_phone_X,acc_phone_Y,acc_phone_Z,lin_acc_phone_X,lin_acc_phone_Y,lin_acc_phone_Z,gyr_phone_X,gyr_phone_Y,gyr_phone_Z,location_phone_Latitude,location_phone_Longitude,location_phone_Height,location_phone_Velocity,location_phone_Direction,location_phone_Horizontal Accuracy,location_phone_Vertical Accuracy,mag_phone_X,mag_phone_Y,mag_phone_Z,proximity_phone_Distance,acc_phone_X_outlier,acc_phone_Y_outlier,acc_phone_Z_outlier,lin_acc_phone_X_outlier,lin_acc_phone_Y_outlier,lin_acc_phone_Z_outlier,gyr_phone_X_outlier,gyr_phone_Y_outlier,gyr_phone_Z_outlier,mag_phone_X_outlier,mag_phone_Y_outlier,mag_phone_Z_outlier
2025-06-04 11:54:53.834940032,-6.2986825913846145,-1.096112929153846,-7.500775134769231,-0.02006735175875,-0.0009229708086666,-0.043765970618,0.0006803257541416,-0.0009440659003333,-0.0001639088634916,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.389530215,3.0,9.607498804666664,-10.865625063333331,29.190873463333332,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:54.084940032,-6.30149597175,-1.0936382675,-7.500165824833334,-0.024858627733,0.0021493633846923,-0.0390275557223076,1.3685621769230746e-05,-0.0008892429133384,-0.0011636243613769,,,,,,,,9.252334594692307,-11.058305226923077,29.625931667692303,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:54.334940032,-6.307260906615385,-1.1022041085384615,-7.492116218,-0.0267075473072499,0.0031650673786666,-0.0424109758433333,0.0024197497380999,-0.0046553533175,-0.0030076459516333,,,,,,,,9.157389322916666,-10.7825492225,29.9217993425,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:54.584940032,-6.317125968999999,-1.1096799088333331,-7.492057685833334,-0.0282759204733846,0.0010963079568461,-0.0400489743395523,0.0020426029447384,-0.0028725063353461,-0.0025049825287723,,,,,,,,9.11308758076923,-10.496348894615384,30.17195598846154,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:54.834940032,-6.3202607962307695,-1.1157221514615383,-7.486727424153845,-0.0273288139695,0.00189505213965,-0.0463623292741666,0.0026402581715833,-0.0051475456760833,-0.0033395336066666,52.61918944,4.731826719,0.6812841576,0.0,224.882431,4.968340397,3.0,8.963464101166666,-10.386039335833331,30.342242558333336,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:55.084940032,-6.3301863098333335,-1.1192599870000002,-7.476016044583333,-0.0293747022523077,0.0006984948878846,-0.0410050390788461,0.0001479957316846,-0.0028997877648846,-0.0012259652854769,,,,,,,,8.844365046461538,-10.29455207,30.387392190769233,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:55.334940032,-6.318671793000001,-1.125371316846154,-7.476951599076922,-0.0207529865204166,-0.0019075627434999,-0.0384122599658333,-0.0010019723292516,0.0010172779245333,0.0015665410320333,,,,,,,,8.835483550916665,-10.187769015833334,30.302381515000004,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:55.584940032,-6.316327629166666,-1.1220915985833333,-7.483113784833333,-0.0241340677553846,-0.0012979300719538,-0.0438517785076923,-0.0017499524490999,0.0012265947432769,0.0024327708927615,,,,,,,,8.817317669076925,-10.033021266846154,30.453262036923075,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:55.834940032,-6.322068575307692,-1.1119799335384617,-7.486439561153846,-0.0318871571116666,0.0001764519140083,-0.0378304132824999,-0.0008498932341249,0.0028783061230141,0.0018597778496491,52.61918944,4.731826719,0.6812841576,0.0,224.882431,5.252002863,3.0,8.799980799333333,-9.871086041083332,30.17768414833333,,False,False,False,False,False,False,False,False,False,False,False,False
2025-06-04 11:54:56.084940032,-6.3130968475000016,-1.1034927749166663,-7.492905921916666,-0.0283670021030769,0.0014765062880461,-0.0417609491261538,-0.0012288645577153,0.0017363399876153,0.0007383527432184,,,,,,,,8.717853839692308,-9.716697913076924,30.30817354615385,,False,False,False,False,False,False,False,False,False,False,False,False
